lapsed,age,sex,region,nregions,memtype,memmonths,mem_mag1,mem_mag2,hasemail,r1,r2,r3,r.quick,extra,intl,r.intl,allgames1yr,allgames5yr,fastevents,medevents,slowevents,nfloor
N,20,M,reg106,1,N,71,N,N,Y,2129,2290,2443,2931,N,N,NA,41,91,0,13,7,0
N,13,M,reg142,1,N,159,N,Y,Y,1321,1654,2277,3103,N,N,NA,19,67,0,18,0,1
Y,8,F,reg150,1,F,76,Y,N,Y,NA,251,728,1181,N,N,NA,29,52,0,10,2,0
Y,53,M,reg127,1,N,159,Y,N,Y,1050,1049,1025,1470,N,N,NA,4,13,0,2,2,0
N,7,M,reg127,1,N,9,N,N,Y,NA,NA,546,767,N,N,NA,5,5,0,1,0,0
Y,54,M,reg132,3,N,175,N,N,Y,2330,2332,2339,3716,N,N,NA,0,6,3,1,0,0
N,10,M,reg112,1,A,145,N,N,Y,1274,1294,1786,2521,N,N,NA,44,200,0,47,2,0
N,70,M,reg126,1,N,281,Y,N,N,2671,2672,2670,NA,Y,N,NA,0,0,0,0,0,0
N,61,M,reg150,1,N,337,N,N,Y,2415,2314,2305,2671,N,N,NA,40,288,1,0,84,0
N,20,M,reg106,1,N,159,N,N,Y,1684,1698,1697,2300,N,N,NA,0,46,0,10,0,0
N,36,M,reg128,1,N,25,N,N,Y,2134,2130,2325,3314,N,N,NA,5,5,0,1,1,0
Y,8,F,reg112,1,F,4,N,N,Y,NA,NA,195,279,N,N,NA,5,5,0,1,0,0
Y,9,M,reg142,1,N,15,N,Y,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,7,M,reg132,1,N,40,N,N,Y,NA,320,1090,1587,N,N,NA,25,35,0,7,0,0
N,57,M,reg126,1,F,373,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,9,M,reg133,1,N,18,N,Y,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,11,M,reg142,1,N,5,N,N,Y,NA,NA,435,611,N,N,NA,4,4,0,2,0,0
Y,10,M,reg155,1,N,8,N,Y,Y,NA,NA,776,1097,N,N,NA,5,5,0,1,0,0
Y,9,M,reg126,1,N,25,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,11,M,reg112,1,N,166,N,N,Y,183,187,515,724,N,N,NA,4,4,0,1,0,3
Y,13,F,reg143,1,N,84,N,Y,N,318,320,319,447,N,N,NA,0,14,0,3,0,0
Y,10,F,reg127,1,N,22,N,N,Y,NA,NA,728,1024,N,N,NA,5,5,0,1,0,0
Y,31,F,reg112,1,N,24,N,N,N,NA,NA,641,898,N,N,NA,10,10,2,1,4,0
Y,18,M,reg118,1,N,221,N,N,Y,1904,2195,2087,2125,N,N,NA,5,25,0,0,5,0
Y,12,M,reg102,1,N,70,N,N,N,474,1111,1416,1899,N,N,NA,58,138,0,30,3,0
N,14,F,reg150,1,N,136,N,N,Y,1370,1641,1598,1875,N,N,NA,11,143,0,31,6,0
Y,11,M,reg102,1,N,38,N,Y,Y,NA,NA,530,714,N,N,NA,5,5,0,1,0,0
Y,11,M,reg114,1,F,11,Y,N,Y,NA,NA,1380,1809,N,N,NA,5,5,0,2,0,0
Y,8,M,reg140,1,N,23,N,Y,Y,NA,NA,461,664,N,N,NA,9,9,0,2,0,0
N,10,F,reg113,1,F,36,N,N,N,NA,NA,636,524,N,N,NA,13,13,0,2,1,0
Y,10,M,reg112,1,N,115,N,N,N,364,981,822,1293,N,N,NA,50,174,0,30,2,0
N,8,M,reg132,1,N,9,N,N,Y,NA,NA,806,1128,N,N,NA,12,12,0,3,0,0
Y,53,M,reg127,1,N,267,Y,N,Y,2181,2127,2096,2836,N,N,NA,6,62,1,1,13,0
Y,71,M,reg132,1,N,631,Y,N,Y,2241,2410,2218,NA,N,N,NA,13,33,0,0,6,0
Y,18,M,reg140,1,N,17,N,N,Y,NA,NA,1106,1595,N,N,NA,4,4,0,1,0,0
Y,63,M,reg147,1,N,2,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,8,M,reg112,1,N,20,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,68,M,reg132,1,N,439,Y,N,Y,2773,2771,2770,NA,N,N,NA,0,0,0,0,0,0
Y,11,F,reg133,1,N,19,N,N,Y,NA,NA,362,482,N,N,NA,11,11,0,3,0,0
N,9,M,reg140,1,N,78,N,Y,Y,1036,1258,1202,1594,N,N,NA,9,52,1,12,0,0
Y,63,M,reg103,1,N,17,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,14,M,reg113,1,A,99,N,N,Y,NA,1776,1772,2227,N,N,NA,0,5,1,1,0,0
Y,9,M,reg118,1,N,20,N,Y,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,44,M,reg112,1,F,123,Y,N,Y,2262,2183,2220,3084,N,N,NA,4,39,0,11,0,0
N,8,M,reg114,1,N,20,N,N,Y,NA,NA,226,318,N,N,NA,19,19,0,5,0,0
Y,7,M,reg127,1,N,10,N,N,N,NA,NA,194,274,N,N,NA,5,5,0,1,0,0
Y,17,M,reg112,1,N,232,N,N,N,1610,1468,1668,2373,N,N,NA,23,146,0,28,1,0
Y,45,M,reg146,2,N,172,N,N,Y,2950,2953,2950,3830,N,N,NA,0,7,0,2,1,0
Y,60,M,reg154,1,N,260,N,N,Y,2375,2391,2269,NA,N,N,NA,9,45,0,0,5,0
Y,11,F,reg147,1,N,21,N,N,Y,NA,NA,250,345,N,N,NA,19,19,0,5,0,0
N,17,M,reg133,1,N,149,Y,N,Y,1320,1356,1547,2142,N,N,NA,32,134,0,40,4,0
Y,20,M,reg140,1,N,134,N,N,Y,2217,2220,2220,2785,N,N,NA,0,33,3,6,4,0
N,45,M,reg112,1,N,78,Y,N,Y,NA,NA,NA,NA,Y,N,NA,0,0,0,0,0,0
Y,13,NA,reg102,1,N,23,N,N,N,NA,NA,518,735,N,N,NA,4,4,0,1,0,0
Y,42,M,reg128,1,N,309,Y,N,Y,3445,3437,3413,4831,N,Y,NA,4,30,0,7,3,1
Y,10,M,reg123,1,N,38,N,Y,Y,NA,422,1000,1379,N,N,NA,14,19,0,4,0,0
N,13,M,reg127,1,N,54,N,N,Y,NA,1481,1619,2417,N,N,NA,22,47,0,9,4,0
Y,12,M,reg102,1,N,95,N,N,Y,1036,1049,1267,1761,N,N,NA,8,43,0,12,0,0
Y,15,M,reg151,1,A,21,N,N,Y,NA,NA,475,NA,N,N,NA,5,5,0,0,1,0
Y,13,M,reg127,1,N,144,N,N,Y,1977,1881,1882,2860,N,N,NA,0,153,0,30,2,0
Y,23,M,reg112,1,N,474,N,N,Y,2441,2438,2466,3252,N,N,NA,3,3,0,1,0,0
Y,9,F,reg141,1,F,138,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,11,M,reg112,1,F,68,Y,N,Y,495,1191,1564,2223,N,N,NA,29,53,0,6,3,0
N,68,M,reg127,1,N,149,Y,N,N,3099,3074,3074,4061,N,Y,3079,22,70,0,4,13,10
N,45,M,reg154,1,N,216,N,N,Y,2767,2756,3118,3602,N,Y,NA,32,180,9,6,39,0
Y,11,M,reg154,1,F,125,Y,N,Y,1160,1094,1097,1508,N,N,NA,0,117,0,28,23,0
N,16,M,reg106,1,A,12,N,N,Y,NA,NA,1847,1754,N,N,NA,20,20,0,2,5,0
Y,16,M,reg112,1,N,106,N,N,N,852,1323,1206,1700,N,N,NA,4,98,0,17,1,0
N,14,M,reg147,1,A,19,N,Y,Y,NA,NA,1216,1694,N,N,NA,26,26,0,5,0,0
Y,19,M,reg154,1,N,12,Y,N,Y,NA,NA,2546,2979,N,N,NA,5,5,1,0,1,0
Y,6,NA,reg102,1,N,21,N,N,N,NA,NA,205,287,N,N,NA,10,10,0,3,0,0
N,53,M,reg135,1,N,278,Y,N,Y,2913,2919,2927,3889,Y,Y,NA,3,41,111,8,4,0
N,19,F,reg128,1,N,138,N,N,Y,2914,3286,3326,4352,N,N,NA,21,303,2,30,42,0
Y,14,M,reg127,1,N,90,N,N,N,1662,1662,1462,2053,N,N,NA,11,59,0,11,0,0
Y,12,M,reg102,1,N,74,N,Y,Y,775,882,1158,1430,N,N,NA,18,47,0,9,2,0
Y,33,M,reg127,1,N,317,Y,N,Y,2535,2725,2725,3158,N,Y,NA,0,79,1,0,18,0
N,9,M,reg103,1,A,16,N,N,Y,NA,NA,1278,1800,N,N,NA,29,29,0,5,1,0
Y,10,M,reg114,1,N,92,N,N,N,190,492,332,479,N,N,NA,10,62,0,20,1,0
Y,39,M,reg154,1,N,84,Y,N,Y,2819,2816,2819,3843,N,N,NA,0,9,0,1,1,0
Y,10,M,reg154,1,N,50,N,Y,N,NA,509,550,776,N,N,NA,8,16,0,4,0,0
N,68,M,reg155,1,N,12,Y,N,Y,1927,1926,1928,NA,Y,N,NA,0,0,0,0,0,0
Y,10,M,reg111,1,F,14,N,N,N,NA,NA,196,604,N,N,NA,7,7,1,0,1,0
N,9,M,reg112,1,N,17,N,N,N,NA,NA,1158,1635,N,N,NA,15,15,0,4,0,0
N,58,M,reg109,1,N,103,N,N,Y,2491,2424,2422,3181,N,N,NA,7,71,2,0,19,0
Y,36,M,reg114,1,N,58,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,31,M,reg123,1,N,535,Y,N,Y,1797,1795,1788,2482,N,N,NA,3,3,1,1,0,0
N,73,M,reg154,1,N,429,Y,N,Y,2933,2933,2932,NA,N,N,NA,0,0,0,0,0,0
N,11,M,reg102,1,N,54,N,N,Y,NA,509,501,692,N,N,NA,7,15,0,4,0,0
Y,8,M,reg150,1,F,49,N,N,N,NA,624,674,916,N,N,NA,3,23,0,5,0,0
Y,9,M,reg126,1,N,19,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,8,M,reg150,1,N,19,N,N,Y,NA,NA,1027,1404,N,N,NA,13,13,0,3,0,0
N,33,M,reg126,1,N,434,N,N,Y,2855,2862,2792,3986,N,N,NA,9,37,1,7,5,0
N,8,M,reg137,1,N,20,N,N,Y,NA,NA,360,509,N,N,NA,14,14,0,3,0,0
N,11,M,reg123,1,N,10,N,Y,Y,NA,NA,1028,1141,N,N,NA,20,20,0,3,1,0
N,57,F,reg103,1,N,81,Y,N,Y,1016,1017,987,NA,N,N,NA,3,15,0,0,5,0
Y,17,M,reg114,1,N,29,Y,N,Y,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,10,M,reg112,1,N,56,N,N,Y,NA,189,189,267,N,N,NA,0,5,0,1,0,0
Y,18,M,reg102,1,N,260,N,N,Y,1884,1883,1908,2580,N,N,NA,4,23,0,5,0,0
Y,10,M,reg112,1,N,6,N,Y,Y,NA,NA,1643,2313,N,N,NA,0,0,0,0,0,0
Y,8,NA,reg145,1,N,12,N,N,N,NA,NA,695,980,N,N,NA,4,4,0,1,0,0
Y,34,M,reg103,1,N,474,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,19,M,reg137,2,F,352,N,N,Y,1193,1552,1552,2126,N,N,NA,0,20,0,4,0,0
N,11,M,reg143,1,N,72,N,N,Y,1287,1191,1405,2026,N,N,NA,26,50,0,8,2,0
Y,11,M,reg112,1,N,88,N,N,Y,1042,1062,1075,1519,N,N,NA,32,142,0,52,0,0
N,65,M,reg146,1,N,57,Y,N,Y,NA,774,772,472,N,N,NA,0,15,0,5,0,0
Y,11,F,reg132,1,N,13,N,N,N,NA,NA,200,283,N,N,NA,12,12,0,4,0,0
Y,32,M,reg154,1,N,13,N,N,Y,NA,NA,1268,NA,N,N,NA,6,6,0,1,1,0
Y,46,F,reg118,1,F,22,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,13,M,reg112,1,N,177,N,N,Y,1844,1848,1844,2607,N,N,NA,0,80,0,13,2,0
N,57,M,reg142,1,N,53,Y,N,Y,NA,1149,1261,1306,N,N,NA,32,68,5,10,13,0
N,10,M,reg117,1,N,3,N,N,Y,NA,NA,196,267,N,N,NA,5,5,0,1,0,0
Y,15,F,reg112,1,N,292,Y,N,Y,1797,1797,1872,2627,N,N,NA,18,50,0,9,0,0
N,13,F,reg114,1,N,79,N,N,Y,999,1447,2066,2765,N,N,NA,37,76,0,20,4,0
N,8,M,reg106,1,N,19,N,Y,Y,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,12,M,reg111,1,N,18,N,Y,Y,NA,NA,189,261,N,N,NA,11,11,0,1,2,0
N,52,F,reg140,1,F,241,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,12,M,reg126,1,N,51,N,N,Y,NA,1363,1634,2318,N,N,NA,40,78,2,18,0,0
N,42,M,reg154,1,N,70,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,10,M,reg145,1,N,19,N,N,Y,NA,NA,295,419,N,N,NA,10,10,0,2,0,0
N,11,M,reg114,1,N,20,N,N,Y,NA,NA,835,1209,N,N,NA,39,39,0,9,0,0
N,7,M,reg112,1,N,51,N,N,Y,NA,946,1302,1853,N,N,NA,39,63,0,12,0,0
Y,30,M,reg133,2,N,207,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,10,M,reg154,1,N,53,N,N,N,NA,192,695,1093,N,N,NA,19,23,4,8,0,0
Y,16,F,reg146,1,N,19,N,N,Y,NA,NA,1664,1916,N,N,NA,12,12,0,3,0,0
N,12,F,reg112,1,N,137,N,N,Y,1447,1709,1710,2409,N,Y,NA,0,196,0,53,1,0
Y,19,M,reg142,1,N,368,N,N,Y,2390,2390,2487,3292,N,Y,NA,6,20,2,2,2,0
Y,34,M,reg127,1,N,408,Y,N,Y,2150,2149,2149,2833,Y,N,NA,0,0,0,0,0,0
Y,36,M,reg137,1,N,373,Y,N,Y,3266,3266,3267,4285,N,Y,NA,0,63,11,7,10,0
Y,8,M,reg143,2,N,43,N,N,Y,NA,190,264,368,N,N,NA,4,8,0,2,0,0
Y,15,M,reg112,1,N,83,N,N,Y,283,209,210,326,N,N,NA,0,19,0,4,0,0
N,26,M,reg118,1,N,424,Y,N,Y,3089,3073,3073,3742,N,N,NA,0,49,0,5,7,0
Y,10,M,reg145,1,N,18,N,N,N,NA,958,1004,1365,N,N,NA,10,15,0,4,0,0
N,19,F,reg114,1,N,205,Y,N,Y,2842,3137,3134,4219,N,N,NA,0,126,8,21,15,0
Y,42,M,reg138,1,N,131,N,N,Y,2740,2744,2732,3840,N,N,NA,5,12,6,2,3,0
Y,11,F,reg102,1,N,50,N,N,Y,NA,902,984,1378,N,N,NA,3,23,0,6,0,0
Y,10,M,reg106,1,N,48,N,N,Y,NA,206,547,772,N,N,NA,4,8,0,2,0,0
N,11,F,reg138,1,N,17,N,N,Y,NA,NA,187,261,N,N,NA,4,4,0,1,0,0
Y,14,F,reg112,1,F,105,Y,N,Y,1645,1644,1798,2466,N,N,NA,6,56,0,11,1,0
Y,18,M,reg112,1,N,322,N,N,N,1520,1516,1460,2057,N,N,NA,11,11,0,2,0,0
N,58,M,reg112,1,N,275,Y,N,Y,3089,3090,3009,4171,Y,N,NA,14,14,0,1,2,0
Y,13,M,reg118,1,N,145,N,N,N,1484,1480,1481,2933,N,N,NA,0,50,10,4,9,0
Y,10,M,reg112,1,N,105,N,N,N,546,546,829,1189,N,N,NA,18,30,0,5,0,0
Y,8,M,reg102,1,N,9,N,N,Y,NA,NA,192,269,N,N,NA,1,1,0,1,0,0
N,67,M,reg129,1,N,304,Y,N,N,3080,3107,3109,3896,N,N,NA,0,94,3,3,15,7
N,9,M,reg102,1,N,80,N,N,N,707,1315,1888,2648,N,N,NA,35,98,9,25,0,0
Y,9,M,reg129,1,N,50,N,N,Y,NA,191,205,287,N,N,NA,10,17,0,4,0,1
Y,17,M,reg106,1,N,11,N,N,N,NA,NA,1172,1544,N,N,NA,14,14,0,3,1,0
Y,11,F,reg150,1,N,103,N,N,N,241,422,610,1076,N,N,NA,10,48,1,9,1,0
N,45,M,reg127,1,N,72,N,N,Y,NA,NA,NA,NA,N,Y,NA,0,3,0,2,0,0
Y,14,F,reg112,1,F,237,N,N,Y,1657,1562,1495,2116,N,N,NA,13,134,0,28,0,0
Y,11,M,reg106,1,N,23,N,N,Y,NA,NA,NA,NA,N,N,NA,2,2,0,1,0,0
N,19,M,reg154,1,N,72,Y,N,Y,NA,1355,1326,1859,N,N,NA,4,11,0,1,1,0
Y,15,M,reg112,1,N,111,N,N,Y,330,988,1136,1600,N,N,NA,16,54,0,10,0,0
Y,18,M,reg102,1,A,82,N,N,Y,2379,2848,2767,3634,N,N,NA,52,233,1,59,3,0
Y,7,M,reg112,1,N,3,N,N,Y,NA,NA,671,944,N,N,NA,0,0,0,0,0,0
N,68,M,reg101,2,N,290,Y,N,Y,3438,3442,3440,4449,N,N,NA,0,0,0,0,0,0
Y,12,M,reg114,2,N,17,N,N,N,NA,NA,917,1283,N,N,NA,5,5,0,1,0,0
N,52,M,reg132,1,N,42,Y,N,N,NA,NA,2657,NA,N,N,NA,5,5,0,0,2,0
Y,25,M,reg144,1,N,141,N,N,Y,2451,2450,2454,3251,N,N,NA,4,19,0,5,0,0
N,13,F,reg114,1,N,141,Y,N,Y,1937,2080,2057,2597,N,N,NA,8,80,1,15,5,0
N,75,M,reg127,1,N,198,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,9,M,reg138,1,N,9,N,N,N,NA,NA,536,751,N,N,NA,5,5,0,1,0,0
Y,31,M,reg147,1,N,13,Y,N,Y,NA,NA,2689,NA,N,N,NA,7,7,0,0,2,0
Y,13,M,reg102,1,N,25,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,15,M,reg105,1,N,49,N,N,N,NA,957,1101,1384,N,N,NA,9,14,0,3,0,0
Y,17,M,reg114,1,N,148,N,N,Y,1434,1570,1518,1900,N,N,NA,7,49,0,8,9,0
Y,11,M,reg132,1,N,22,N,Y,Y,NA,NA,1379,1922,N,N,NA,25,25,0,5,0,0
N,12,M,reg112,1,N,12,N,N,Y,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
N,16,M,reg154,1,N,59,N,N,Y,NA,1735,1736,2830,N,N,NA,0,13,1,2,1,0
Y,10,M,reg112,1,A,12,N,N,Y,NA,NA,1544,2175,N,N,NA,13,13,0,4,0,0
Y,17,F,reg112,1,N,20,N,N,N,NA,NA,770,1065,N,N,NA,9,9,0,2,0,0
Y,10,M,reg106,1,N,3,N,N,Y,NA,NA,187,260,N,N,NA,4,4,0,1,0,0
Y,14,M,reg112,1,N,208,N,N,Y,2228,2333,2330,3296,N,N,NA,0,140,0,45,2,0
Y,13,M,reg138,1,N,9,N,N,N,NA,NA,402,565,N,N,NA,5,5,0,1,0,0
Y,10,M,reg154,2,N,48,N,N,N,NA,1196,843,1157,N,N,NA,3,7,0,2,0,0
Y,13,M,reg122,1,N,55,N,Y,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,10,M,reg150,1,N,6,N,N,Y,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,9,M,reg101,1,N,18,N,N,N,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,13,F,reg147,1,N,20,N,N,Y,NA,NA,359,485,N,N,NA,12,12,0,2,0,0
Y,58,M,reg128,1,N,393,Y,N,Y,2383,2385,2381,2558,N,N,NA,0,0,1,0,0,0
Y,11,M,reg126,1,N,89,N,Y,N,792,624,1194,1754,N,N,NA,15,24,0,5,0,0
Y,16,M,reg154,1,N,19,N,N,N,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,11,M,reg112,1,N,143,N,N,Y,922,923,926,1327,N,N,NA,16,105,0,18,0,0
N,12,M,reg109,1,F,9,Y,N,Y,NA,NA,692,969,N,N,NA,9,9,0,2,0,0
Y,10,M,reg132,1,N,106,N,N,Y,NA,NA,771,1041,N,N,NA,18,20,0,4,0,1
N,66,M,reg102,1,N,260,Y,N,Y,2411,2437,2612,3514,N,N,NA,28,166,1,4,43,5
Y,17,M,reg128,1,N,176,N,N,Y,192,697,1123,1544,N,N,NA,15,27,0,7,0,1
N,9,F,reg132,1,A,50,N,N,N,NA,308,636,870,N,N,NA,6,27,0,3,1,0
N,5,M,reg112,1,N,11,N,N,Y,NA,NA,188,264,N,N,NA,4,4,0,1,0,0
Y,7,M,reg112,1,N,9,N,N,Y,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,14,M,reg137,1,N,15,Y,N,Y,NA,NA,556,752,N,N,NA,4,4,0,1,0,0
Y,10,M,reg112,1,A,23,N,N,N,NA,NA,1299,1841,N,N,NA,52,52,0,19,0,0
Y,9,M,reg102,1,N,11,N,Y,Y,NA,NA,NA,NA,N,N,NA,3,3,0,0,1,0
N,71,M,reg141,1,N,313,Y,N,Y,3416,3416,3417,NA,Y,Y,NA,0,3,0,0,1,1
Y,9,M,reg133,1,N,20,N,Y,Y,NA,NA,483,628,N,N,NA,5,5,0,1,0,0
N,41,M,reg127,1,N,388,Y,N,Y,3555,3553,3462,4911,N,N,NA,40,171,0,0,29,0
Y,11,M,reg132,1,N,47,N,N,Y,NA,582,583,847,N,N,NA,0,9,0,1,0,0
N,62,M,reg117,1,N,278,Y,N,Y,2802,2830,2840,3425,Y,N,NA,5,23,1,0,6,0
N,62,M,reg102,1,N,647,Y,N,Y,3241,3176,3194,NA,N,Y,NA,9,27,0,0,3,0
N,43,M,reg102,1,N,616,Y,N,N,3207,3110,3206,4420,N,Y,NA,67,132,3,27,11,0
N,41,M,reg126,1,N,119,N,N,Y,2384,2383,2287,3319,N,N,NA,5,37,14,11,2,0
Y,14,M,reg132,1,N,18,N,N,N,NA,NA,1133,1102,N,N,NA,7,7,1,0,2,0
Y,22,M,reg153,1,N,383,N,N,Y,3532,3532,3540,4348,N,Y,NA,4,14,1,0,3,0
Y,8,M,reg129,1,N,45,N,N,Y,NA,498,502,701,N,N,NA,8,14,0,4,0,0
Y,14,M,reg123,1,N,20,Y,N,Y,NA,NA,2231,2910,N,N,NA,45,45,0,8,2,0
Y,50,M,reg127,1,N,68,N,N,N,2968,2960,2936,3959,N,N,NA,36,95,0,18,4,0
N,8,M,reg127,1,N,12,N,N,Y,NA,NA,383,537,N,N,NA,14,14,0,3,0,0
N,13,M,reg138,1,N,13,Y,N,Y,NA,NA,839,1188,N,N,NA,10,10,0,2,0,0
Y,10,M,reg127,1,N,7,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,14,M,reg114,1,N,236,Y,N,Y,2832,3082,3235,4292,N,Y,NA,104,498,11,61,73,0
Y,12,M,reg140,1,N,50,N,Y,Y,NA,819,926,1319,N,N,NA,9,28,0,6,0,0
Y,11,M,reg143,1,N,24,N,N,N,NA,NA,884,1255,N,N,NA,18,18,0,4,0,0
Y,7,M,reg112,1,N,15,N,N,Y,NA,NA,398,559,N,N,NA,8,8,0,2,0,0
Y,10,M,reg127,1,N,26,N,N,N,NA,NA,756,1052,N,N,NA,15,15,0,3,0,0
Y,9,M,reg141,1,N,5,N,N,Y,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,10,M,reg106,1,N,17,N,N,N,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,56,M,reg111,1,N,274,Y,N,Y,2567,2566,2577,3373,N,N,NA,9,9,2,7,0,6
N,7,M,reg103,1,A,11,N,N,N,NA,NA,465,654,N,N,NA,12,12,0,3,0,0
N,11,M,reg127,1,N,58,N,N,Y,NA,1450,2399,3241,N,Y,NA,132,199,0,33,20,0
Y,15,M,reg128,1,N,113,N,N,Y,1923,1870,1969,2632,N,N,NA,5,125,0,24,2,0
Y,14,M,reg129,1,N,4,N,N,N,NA,NA,1083,1488,N,N,NA,4,4,0,1,0,0
N,54,M,reg103,1,N,444,N,N,N,1645,1648,1646,2149,Y,N,NA,0,8,8,0,1,0
Y,11,M,reg145,1,N,43,N,N,Y,735,820,1032,1298,N,N,NA,12,22,1,6,0,0
N,14,M,reg133,1,N,20,N,N,Y,NA,NA,833,1057,N,N,NA,27,27,0,7,0,0
Y,51,M,reg102,1,N,280,Y,N,Y,3418,3429,3417,4911,N,N,NA,1,16,0,0,18,2
Y,11,M,reg150,1,F,110,N,N,N,444,440,462,653,N,N,NA,4,12,0,3,0,0
Y,17,M,reg133,1,N,11,N,N,Y,NA,NA,618,775,N,N,NA,5,5,0,1,0,0
Y,14,M,reg114,1,N,136,N,N,Y,1693,1916,1890,2403,N,N,NA,4,145,3,24,9,1
Y,55,M,reg102,1,N,279,Y,N,N,3755,3755,3754,5453,N,Y,NA,0,8,0,0,2,2
N,60,M,reg129,1,N,200,Y,N,N,2630,2434,2306,3136,N,Y,NA,50,261,23,20,57,0
N,10,M,reg102,1,N,49,N,N,Y,NA,380,1270,1768,N,N,NA,56,68,0,9,5,0
N,10,M,reg114,1,F,14,N,N,Y,NA,NA,1121,1686,N,N,NA,15,15,2,4,0,0
N,46,M,reg106,1,N,459,Y,N,Y,1193,1187,1801,2775,Y,N,NA,21,30,0,2,6,0
Y,17,F,reg140,1,N,12,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,15,M,reg127,1,N,129,N,N,N,718,934,947,1299,N,N,NA,9,108,0,25,0,0
Y,12,M,reg112,1,N,23,N,N,N,NA,NA,189,267,N,N,NA,9,9,0,2,0,0
Y,11,M,reg133,1,N,99,N,N,Y,NA,272,371,274,N,N,NA,6,13,0,1,2,0
N,15,M,reg154,1,N,8,N,N,N,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
N,83,M,reg154,1,N,86,Y,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,66,M,reg106,1,N,51,Y,N,Y,NA,NA,1657,NA,N,N,NA,2,5,0,0,5,0
N,9,M,reg106,1,A,40,N,N,Y,NA,216,958,1161,N,N,NA,50,63,0,13,3,0
N,14,M,reg126,1,N,241,N,N,Y,2524,3100,3364,4621,N,Y,NA,73,288,1,53,15,0
N,12,M,reg143,1,N,70,N,N,Y,1160,1237,1128,1618,N,N,NA,19,51,1,9,1,0
N,75,M,reg127,1,N,444,Y,N,Y,3206,3203,3204,NA,N,N,NA,0,0,0,0,0,0
Y,10,M,reg102,1,N,20,N,N,Y,NA,NA,NA,264,N,N,NA,0,0,1,0,0,0
N,8,M,reg102,1,N,13,N,Y,Y,NA,NA,192,272,N,N,NA,4,4,0,1,0,0
Y,9,F,reg102,1,N,14,N,N,N,NA,NA,196,273,N,N,NA,5,5,0,1,0,0
Y,56,M,reg102,1,N,146,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,10,M,reg123,1,N,78,N,Y,Y,342,763,786,1092,N,N,NA,12,37,0,8,0,0
Y,10,F,reg127,1,N,4,N,Y,N,NA,NA,655,923,N,N,NA,6,6,0,1,0,0
Y,10,M,reg145,1,N,13,N,Y,Y,NA,NA,1638,2316,N,N,NA,5,5,0,1,0,0
N,36,M,reg132,1,N,8,Y,N,Y,NA,NA,NA,NA,N,Y,NA,0,0,0,0,0,0
N,76,M,reg127,1,N,451,Y,N,Y,2636,2638,2637,NA,N,N,NA,0,0,0,0,0,0
Y,16,F,reg114,1,N,82,N,N,Y,1771,1812,1808,2541,N,N,NA,0,67,0,13,5,0
N,64,M,reg126,1,N,265,Y,N,Y,2907,2956,2987,4188,Y,N,NA,67,424,0,99,48,31
N,56,M,reg145,1,N,621,Y,N,Y,2470,2472,2469,NA,N,N,NA,0,0,0,0,0,0
